name|parent_id|complete_name|pms|faes|arancel_id|estimate_cost|level
QSEVEN|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE / QSEVEN|PM-RRELATS|FAE-4|84733080|6,35|5
ETIQUETA|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / ETIQUETA|PM-ILED|FAE-9||13,1|4
SMARC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE / SMARC|PM-RRELATS|FAE-4|84733080|6,35|5
BASE BOARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE / BASE BOARD|PM-RRELATS|FAE-4|84733080|6,35|5
OTRO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE / OTRO|PM-RRELATS|FAE-4|84733080|6,35|5
EQUIPO PC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC|PM-RRELATS|FAE-4|84733080|6,35|3
EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / EMBEDDED|PM-RRELATS|FAE-4|84733080|6,35|4
FANLESS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / EMBEDDED / FANLESS|PM-RRELATS|FAE-4|84713000|6,35|5
NO FANLESS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / EMBEDDED / NO FANLESS|PM-RRELATS|FAE-4|84733080|6,35|5
MONOCHASIS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / MONOCHASIS|PM-RRELATS|FAE-4|84733080|6,35|4
FANLESS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / MONOCHASIS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / MONOCHASIS / FANLESS|PM-RRELATS|FAE-4|84733080|6,35|5
NO FANLESS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / MONOCHASIS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / MONOCHASIS / NO FANLESS|PM-RRELATS|FAE-4|84733080|6,35|5
"RACK 19"""|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / EQUIPO PC / RACK 19"""|PM-RRELATS|FAE-4|84713000|6,35|4
PANEL PC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PANEL PC|PM-RRELATS|FAE-4|84713000|6,35|3
PERFILES Y ACCESORIOS|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / PERFILES Y ACCESORIOS|PM-ILED|FAE-9|39259020|13,1|4
