"name"|"parent_id"|"complete_name"|"pms"|"faes"|"arancel_id"|"logistics_cost"|"level"
"ELECTROQUIMICO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ELECTROQUIMICO"|"Carles García"|"Sergi Gomis"|"90271090"|"6,6"|"3"
"CATALITICO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / CATALITICO"|"Carles García"|"Sergi Gomis"|"90271090"|"6,6"|"3"
"NDIR"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / NDIR"|"Carles García"|"Rubén Pérez"|"90271090"|"6,6"|"3"
"PRECALIBRADO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / PRECALIBRADO"|"Carles García"|"Sergi Gomis"|"90271090"|"6,6"|"3"
"ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO"|"Carles García"|"Sergi Gomis"|"90271090"|"6,6"|"3"
"ZOCALO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO / ZOCALO"|"Carles García"|"Sergi Gomis"|"90271090"|"6,6"|"4"
"4G"|"COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER"|"COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER / 4G"|"Anna Teotino"|"Anna Teotino"|"85176200"|"7,25"|"5"
"KIT EVALUACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO / KIT EVALUACION"|"Carles García"|"Sergi Gomis"|"90271090"|"6,6"|"4"
"SENSORES"|"SEMICONDUCTORES & ELECTROMECÁNICOS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES"|"Carles García"|"Sergi Gomis"|"85416000"|"4,1"|"2"
"PROXIMIDAD"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD"|"Carles García"|"Sergi Gomis"|"85416000"|"4,1"|"3"
"REED"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED"|"Carles García"|"Sergi Gomis"|"85416000"|"4,1"|"4"
"AMPOLLA"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED / AMPOLLA"|"Carles García"|"Sergi Gomis"|"85364900"|"4,1"|"5"
