code;name;planned_revenue;probability;partner_id;agent_id;team_id;date_deadline;priority;tag_id;campaign_id;medium_id;partner_name;street;street2;zip;city;state_id;country_id;phone;mobile;email_from;website;contact_name;description;type
OPPN-00061;ALIMENTACIÓN MÁQUINAS TIPO B (RECREATIVO);37.900;;100009;V-JCVAZ;;01/09/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00062;FERROCARRILES (COMUNICACIONES);70.000;;110093;V-BNC-CENT;;01/10/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00063;TELEMETRY&TELECONTROL (CONTROL ENERGÍA);25.000;;100014;V-HLAMA;;01/10/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00064;CONTROL Y UBICACIÓN CONTAINERS (INGENIERIA);6.000;;102108;V-JCVAZ;;01/10/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00065;COMUNICACIÓN BALIZAS (INGENIERIA/SEÑALIZACIÓN LED);0;;101063;V-XAND;;25/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00066;GESTION DE FLOTAS BUS (Gestion Trafico/Transporte);6.000;;100543;V-MHINAREJ;;10/10/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00067;Gestion de Flotas (Automocion);1.020;;101351;V-DMART;;13/02/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00068;Audio- Video Streaming por IP (Audio & Video);31.000;;102339;V-IGAR;;25/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00069;Alimentacion principal (Audio & Video);1.000;;102339;V-IGAR;;01/04/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00070;Alimentaciones secundarias (Audio & Video);1.000;;102339;V-IGAR;;01/04/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00071;Cerraduras Electronicas (Control  de Accesos);3.000;;120270;V-IGAR;;08/03/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00072;Gestion de Flotas (Automocion);0;;103301;V-BNC-NOR2;;22/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00073;Localizador (Gestion de Flotas);5.390;;102503;V-BNC-NORT;;04/06/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00074;ROTULOS LUMINOSOS (Paneles luminosos);3.000;;130055;V-MHINAREJ;;28/10/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00075;Proteccion y Control (Energia);8.196;;101616;V-BNC-NORT;;15/03/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00076;IDEM (RIEGO AUTOMATICO);11.400;;103290;V-RIP;;12/07/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00077;CONECTIVIDAD GSM DE CABINAS (ASCENSORISTAS);200.000;;100481;V-XAND;;05/11/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00078;Industrial (Protección y Control Energia);6.000;;120015;V-DMART;;13/04/2015;;;;;;;;;;;;;;;;;;opportunity
