product_code|partner_ref|min_quantity|create_date|create_user
EL-CP1250|101995|15|2011-01-17|
EL-CP1250|101995|9|2011-07-01|
EL-CP1250|101995|8|2012-01-05|
EL-FS3528B|101780|2|2013-06-04|
EL-FS3528B|101780|2|2013-06-04|
EL-FS3528B1|101838|5|2011-03-25|
EL-FS3528B1|101838|4|2011-06-09|
EL-FS3528B1|101838|2|2011-06-09|
EL-FS3528B1|110117|5|2012-11-28|
EL-FS3528B1|110117|5|2013-03-21|
EL-FS3528B1|110117|5|2013-07-24|
EL-FS3528B1|110117|5|2013-10-25|
EL-FS3528B1|110500|10|2011-07-11|
EL-FS3528B1|110500|10|2013-07-24|
EL-FS3528B1|110500|10|2013-10-25|
EL-FS3528W-24-WP|100932|20|2018-09-21|
EL-FS3528WW1|102256|100|2012-06-18|
EL-FS3528WW1|102256|60|2012-06-25|
EL-FS50B1|101818|10|2012-01-02|
EL-FS50CW1|101995|4|2011-01-17|
EL-FS50CW1|102231|22|2013-09-16|
EL-FS50CW1-IP68|101930|2|2011-01-26|
EL-FS50R1|102109|7|2012-03-07|
EL-FS50RB1|100009|4|2011-11-24|
EL-FS50RB1|101995|10|2011-01-17|
EL-FS50RB1|101995|5|2011-07-01|
EL-FS50RB1|110050|10|2011-12-01|
EL-FS50RB1|120093|10|2010-11-17|
EL-FS50RB1-24-WP|103336|10|2014-03-26|
EL-FS50RB1-IP68|101930|2|2011-01-26|
EL-FS50RB1-WP|110050|20|2016-06-16|
EL-FS50RB1-WP|120093|20|2015-02-23|
EL-FS50RB-WP|104092|0|2019-02-15|
EL-FS50RB-WP|104092|0|2019-03-18|
EL-FS50RGB-CW|101578|1|2013-03-14|
EL-FS50RGB-WW|101578|1|2013-03-14|
EL-FS50RGB-WW|101578|1|2013-03-14|
EL-FS50W1|101818|20|2012-01-02|
EL-FS50W1|101995|4|2011-06-14|
EL-FS50W1|110117|0|2012-04-12|
EL-FS50WW1|102256|100|2012-03-20|
EL-FS50WW1-IP68|101930|2|2011-01-26|
EMB-BT1-A30-3845-MS|101623|30|2020-09-28|
EMT5012AF|101423|30|2010-01-21|
EMT5012AF|101423|20|2011-04-15|
EMT5012AF|101678|50|2009-02-26|
EMT5012AF|101678|75|2009-04-03|
EMT5012AF|101678|60|2009-12-28|
EMT5012AF|101678|30|2011-04-15|
ET-7052 CR|103107|0|2015-11-13|
ET-7060 CR|103107|5|2016-02-18|
ET-7261-CR|103107|2|2016-02-22|
FCL9-30W-N|101765|6|2013-05-28|
FPK-02-R10|104196|0|2019-04-15|
FX224LG|101812|1000|2010-02-08|
G065VN01V2|100816|2|2016-03-15|
G121SN01V4|100816|2|2016-03-15|
G121XN01-V00|100816|30|2020-10-27|Núria Soler
GENE-BSW5-A11-0002|100816|30|2020-10-27|Núria Soler
GENE-BSW5-A11-0002|100816|30|2020-10-27|Núria Soler
GENE-BSW5-A11-0002|100816|80|2020-10-27|Núria Soler
GENE-BSW5-A11-0002|101623|20|2020-11-30|Núria Soler
GENE-BSW5-A11-0002|101623|4|2021-07-29|Núria Soler
GU10-3A-3X3W-WW|101937|50|2011-01-19|
GU10-3A-3X3W-WW|101995|20|2011-01-17|
GU10-3A-3X3W-WW|101995|30|2011-02-25|
GU10-5WCOB-WW|102202|75|2014-02-24|
H3R7-400|100177|2000|2011-05-06|
H3R7-400|100177|4000|2011-12-01|
H8600VBBB|101623|30|2020-09-28|
HF150W-SF-28|100631|500|2012-11-21|
HF150W-SF-28|100631|420|2013-02-20|
HF150W-SF-28|100631|330|2013-04-08|
HF150W-SF-28|100631|255|2013-07-01|
HF150W-SF-28|100631|210|2013-10-07|
HF150W-SF-28|100631|16|2014-02-05|
HF150W-SF-28|100631|160|2014-02-05|
HF150W-SF-28|100631|93|2014-03-27|
HF150W-SF-28|100631|73|2014-04-24|
HF150W-SF-28|100631|33|2014-04-24|
HTS-150F-27|100631|0|2017-03-01|
IMBA-Q170A-A10-2P4|100027|0|2019-03-08|
INV-EMBBT1-LEDDRV/25CM|101623|30|2020-09-28|
INV-GBSW5-G121SN01/30CM|100816|30|2020-10-27|Núria Soler
INV-GENECV05-LEDDRV/35CM|100816|80|2020-10-27|Núria Soler
INV-GENECV05-LEDDRV/35CM|101623|20|2020-11-30|Núria Soler
INV-GENECV05-LID18A05/30|100816|1|2016-03-22|
INV-GENECV05-LID18A05/30|100816|20|2019-09-10|
INV-GENECV05-LID18A05/30|100816|30|2020-10-27|Núria Soler
INV-GENECV05-LID18A05/30|101623|4|2021-07-29|Núria Soler
INV-PICOCV01A10-D0650BMG|100816|1|2016-03-22|
INV-W945GSE-G121SN01V4|100816|1|2016-03-22|
IPX-030P12M|101623|10|2018-07-18|
IPX-035P12M|101623|0|2019-05-02|
IPX-060P24P|101623|10|2018-07-18|
JBC501F697-Q170-B|104196|1|2019-04-15|
JH104LOPN-MA1000|101623|0|2021-04-26|Núria Soler
JH104LOPN-VL1000|101623|20|2021-10-27|Núria Soler
JH104LPNN-1000|100816|80|2020-10-27|Núria Soler
JH104LPNN-1000|101623|20|2020-11-30|Núria Soler
JH150LPNN-1500|101623|30|2020-09-28|
K10104CTLD|101181|10000|2015-09-17|
KPC354NT|101037|24000|2009-10-05|
KPC354NT|101037|20500|2009-10-28|
KPC354NT|101037|16100|2009-11-11|
KPC354NT|101037|1600|2009-11-13|
