name|product_code|warehouse_id|location_id|security_stock|create_date|create_user
OP/07923|LCD-KIT-F12A/R-R10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07924|LCF4042-1762-BLSYG-L|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07925|LD24-08-350|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07926|LD24-20-700|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07927|LD24E-07-300|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07928|LD24E-08-350|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07929|LD24E-17-700|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07930|LD48-48-1000|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07931|LDCJACKPOWER220CM|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07932|LDF24E-12-350|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07933|LDR-5.5K/EXT|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07934|LDS310D-1P|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07935|LE2842-11EWT035|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07936|LEAD ATTACH|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07937|LEAD ATTACH IRHLNJ77034|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07938|LEAD-FREE-B-7541-30X10-500|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07939|LED3RGBEXT|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07940|LEDCOVECLIP|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07941|LEDCOVEPACK1M|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07942|LEDDRV-BW051-G065VN01/10CM|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07943|LEDEM01|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07944|LEDEP05|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07945|LEDIPST6X12WH|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07946|LEDIPST6X12WW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07947|LEDLINE400NW-110|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07948|LEDLINE400WH45|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07949|LEDLINE400WW45|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07950|LEDLYTE1MEXT|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07951|LEDLYTE6WAYEXT|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07952|LEDLYTEIPWW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07953|LEDLYTENW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07954|LEDLYTESURFACEWW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07955|LEDLYTEWW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07956|LED-ROJO/12VDC|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07957|LEDSTRIPIPBL|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07958|LEDSTRIPIPWW-20M|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07959|LER4422BG2C16SNY|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07960|LER4434BR4C20SNY|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07961|"LEVER CP3"""|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07962|LEVER ELM SERIES|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07963|LF101ED|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07964|LF101ES|Almacén|MONO/Stock|0|2011-04-15|
OP/07965|LF103ES|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07966|LF104ED|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07967|LF104ES|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07968|LF111D|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07969|LF111ES|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07970|LF111ES-TR|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07971|LF114ED|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07972|LF121S|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07973|LF124D|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07974|LF151ES|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07975|LF153ES|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07976|LF159ES-TR|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07977|LF201MHI|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07978|LF202ES|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07979|LF203ES|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07980|LF211MHI|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07981|LF221R|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07982|LF222RW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07983|LF222S|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07984|LF48410JI25|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07985|LF714RW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07986|LG173ST|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07987|LG-570LS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07988|LGF24011-I63C-BLEWH-LTJ-SNDBH|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07989|LGF24011-I981-BLSYG-SSDG-CNE|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07990|LGFD024L7-003|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07991|LG-MLC1915S|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07992|LGRD022W3-035|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07993|LH0038CD|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07994|LHI1128|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07995|LHI874|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07996|LHI878|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07997|LHI968|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07998|LHIR9033-TR1|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07999|LI05-1A79|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08000|LI05-1A85|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08001|LI12-1A85|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08002|LI24-1A85|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08003|LIBR12|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08004|LIBR13|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08005|LIBR22|Almacén|MONO/Stock|0|2011-03-31|
OP/08006|LIBR22|Almacén|MONO/Stock|0|2011-03-28|
OP/08007|LIBR23|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08008|LICENCE FEE|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08009|LICENCIA NHI|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08010|LICENCIA-TRACKSOLID|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08011|LID18-88020218103|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08012|LIFE TEST|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08013|LIFETEST-1000H-85-5089-R|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08014|LIFETEST-1000H-95-7274|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08015|LIM-170EU-SAW|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08016|LIM-LC320WXNZOOM2|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08017|LIM-LC320WXNZOOM2-TOOLING-A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08018|LIM-LC420WXNZOOM2-TOOLING-A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08019|LIM-LC42WXNZOOM2|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08020|LIM-LTA460H07ZOOM2-TOOLING-A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08021|LJ1111-11-M173BWR075|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08022|LJ1111-11-UR93BWRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08023|LJ1111-21-UR93BWRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08024|LJ1171-11-M1BWR075|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08025|LJ11B1-11-0603BWRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08026|LJ11B1-21-0603-ZBWRS|Almacén|MONO/Stock|0|2011-05-24|
OP/08027|LJ1371-23-M1-BWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08028|LJ1411-11-UR93EWR040|Almacén|MONO/Stock|0|2016-02-19|
OP/08029|LJ1411-11-UR93EWR040|Almacén|MONO/Stock|0|2013-11-19|
OP/08030|LJ1421-11-UR96EWR035|Almacén|MONO/Stock|0|2013-11-19|
OP/08031|LJ1421-11-UR96EWR035|Almacén|MONO/Stock|0|2014-07-15|
OP/08032|LJ1421-11-UR96EWR035|Almacén|MONO/Stock|0|2016-02-19|
OP/08033|LJ2011-21-UR93EWR035|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08034|LJ2011-21-UR93EWR040|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/08035|LJ20B1-21-UEC3ZBWRS|Almacén|MONO/Stock|0|2012-07-13|
OP/08036|LJ2311-11-UB92EWR040|Almacén|MONO/Stock|0|2021-12-04|OdooBot
