name|parent_id|complete_name
ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTR|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTR / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES
ACTIVIDADES DE ARCHIVOS|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTR / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTR / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES / ACTIVIDADES DE ARCHIVOS
ACTIVIDADES DE BIBLIOTECAS|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTR / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTR / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES / ACTIVIDADES DE BIBLIOTECAS
INFORMACIÓN Y COMUNICACIONES||INFORMACIÓN Y COMUNICACIONES
PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELA|INFORMACIÓN Y COMUNICACIONES|INFORMACIÓN Y COMUNICACIONES / PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELA
PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMÁTICA|INFORMACIÓN Y COMUNICACIONES / PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELA|INFORMACIÓN Y COMUNICACIONES / PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELA / PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMÁTICA
ACTIVIDADES DE CONSULTORÍA INFORMÁTICA|INFORMACIÓN Y COMUNICACIONES / PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELA / PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMÁTICA|INFORMACIÓN Y COMUNICACIONES / PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELA / PROGRAMACIÓN, CONSULTORÍA Y OTRAS ACTIVIDADES RELACIONADAS CON LA INFORMÁTICA / ACTIVIDADES DE CONSULTORÍA INFORMÁTICA
ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS||ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS
ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD
ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS, AUDITORÍA Y ASESORÍA FISCAL|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS / ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD / ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS, AUDITORÍA Y ASESORÍA FISCAL
