"location_id"|"product_qty"|"product_code"|"product_lot_id"
"MONO/Stock"|"5"|"BC95GJB-02-STD"|"20210929"
"MONO/Stock"|"1.000"|"BC95GJB-02-STD"|"R01A08"
"MONO/Stock"|"495"|"BC95GJB-02-STD"|"R01A07"
"MONO/Stock"|"111"|"BCEC350VM-02-P"|""
"MONO/Stock"|"21"|"BCEC350VM-02-P-SAT"|""
"MONO/Stock"|"1"|"BCEC381V02P"|""
"MONO/Stock"|"50"|"BCEC381V-05-P"|""
"MONO/Stock"|"105"|"BCECH350RM-02-P"|""
"MONO/Stock"|"5"|"BCECH350RM-02-P-SAT"|""
"MONO/Stock"|"71"|"BCECH381VM03P"|""
"MONO/Stock"|"4"|"BEZEL-MKL2"|""
"MONO/Stock"|"2"|"BG96MA-MINIPCIE"|"R02A07M1G"
"MONO/Stock"|"50"|"BG96MC-128-SGNS"|"070521"
"MONO/Stock"|"1"|"BMP71-QWERTY-EU"|""
"MONO/Stock/SAT"|"1"|"BOXER-6404U-A1-1010"|""
"MONO/Stock"|"1"|"BOXER-6639M-A1-1010"|""
"DEP/Stock"|"1"|"BOXER-6639M-A1-1010"|""
"MONO/Stock"|"1"|"BOXER-6640-A1-1010"|""
"MONO/Stock"|"1"|"BOXER-6640-A2-1010"|""
"MONO/Stock"|"9"|"BPT-19-7563-0.5"|""
"MONO/Stock"|"2"|"BRACKET-SLOT/LISO"|""
"DEP/Stock"|"1"|"BT100-ED-E45"|""
"MONO/Stock"|"7"|"BV17182-BVXXXX"|""
"MONO/Stock"|"16"|"BW051-BB-N3160"|""
"MONO/Stock"|"1"|"BWS-PWIDS-CD"|""
"MONO/Stock/Dotación"|"40"|"BXRC-50C4000-F-04"|""
"MONO/Stock/Dotación"|"2"|"C1685-510008-A"|""
"MONO/Stock"|"1"|"C485G-005/113-UFL"|""
"DEP/Stock"|"1"|"C485G-005/113-UFL"|""
"DEP/Stock"|"2"|"C485G-010/113-UFL"|""
"MONO/Stock"|"1"|"C485G-020/113-UFL"|""
"MONO/Stock/Dotación"|"2"|"C485G-035/132-HFL"|""
"MONO/Stock"|"600"|"C495G-010/113-UFL"|""
"MONO/Stock"|"50"|"C495G-025/113-UFL"|""
"MONO/Stock"|"39"|"CABLE ALIM CP-MRS"|""
"MONO/Stock"|"38"|"CABLE RS-232"|""
"MONO/Stock"|"13"|"CABLE_HDMI_A_MM_1M"|""
"MONO/Stock"|"125"|"CABLE-4USB/SELF"|""
"MONO/Stock"|"135"|"CABLE-5COM/SELF"|""
"MONO/Stock"|"10"|"CABLE-ADAP-LEDS/EAS"|""
"MONO/Stock"|"7"|"CABLE-ALARGO-DB9/20CM"|""
"MONO/Stock"|"2"|"CABLE-ALIM/CVI/55CM"|""
"MONO/Stock"|"3"|"CABLE-ALIM/FT215-PICO"|""
"MONO/Stock"|"36"|"CABLE-ALIM-12VDC/3BO"|""
"MONO/Stock"|"229"|"CABLE-ALIM-12VDCAFUEL/3BO"|""
"MONO/Stock/Restitución"|"1"|"CABLE-ALIM-12VDCAFUEL/3BO"|""
"MONO/Stock"|"100"|"CABLE-ALIM-12VDCAFUEL/4FAN"|""
"MONO/Stock"|"4"|"CABLE-ALIM12VDCTOKH/2BO"|""
"MONO/Stock"|"71"|"CABLE-ALIM-3BO/EAS"|""
"MONO/Stock"|"16"|"CABLE-ALIM-BW01FAN/20CM"|""
"MONO/Stock"|"71"|"CABLE-ALIM-FASTON/EAS"|""
